target_file,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
audio/com2_normal_3g-goodloss9_03-10-2025_235434/speaker_251003_235453.wav,3.9789333,4.147576,4.2287617,3.5452187,3.9520552,NISQAv2
audio/com2_normal_4g-goodloss0_04-10-2025_003326/speaker_251004_003348.wav,4.044466,4.19403,3.5513947,4.0251713,4.2158523,NISQAv2
audio/com2_normal_4g-goodloss12_04-10-2025_002532/speaker_251004_002554.wav,3.4353642,4.0621147,3.6317337,3.0577028,3.6409993,NISQAv2
audio/com2_normal_4g-goodloss15_04-10-2025_002349/speaker_251004_002411.wav,2.9161985,3.9137201,3.3928683,2.477301,3.3492181,NISQAv2
audio/com2_normal_4g-goodloss18_04-10-2025_002205/speaker_251004_002227.wav,2.7418869,3.8086414,3.1706755,2.3811295,3.3295407,NISQAv2
audio/com2_normal_4g-goodloss21_04-10-2025_001920/speaker_251004_001941.wav,2.5789275,3.7462595,3.004092,2.2155128,3.2790143,NISQAv2
audio/com2_normal_4g-goodloss23_04-10-2025_001740/speaker_251004_001800.wav,2.3467476,3.6368723,2.8190727,2.1099315,3.225182,NISQAv2
audio/com2_normal_4g-goodloss25_04-10-2025_001452/speaker_251004_001513.wav,1.965587,3.5501163,2.5222533,1.958735,3.1275415,NISQAv2
audio/com2_normal_4g-goodloss27_04-10-2025_001309/speaker_251004_001330.wav,2.1052349,3.2849095,3.0134995,2.0541446,3.2802634,NISQAv2
audio/com2_normal_4g-goodloss30_04-10-2025_001024/speaker_251004_001044.wav,1.8622516,3.3207064,2.557548,1.8828354,3.04167,NISQAv2
audio/com2_normal_4g-goodloss33_04-10-2025_000843/speaker_251004_000903.wav,1.8720878,3.2990477,2.7310288,1.8885721,3.245571,NISQAv2
audio/com2_normal_4g-goodloss35_04-10-2025_000659/speaker_251004_000720.wav,1.6825644,3.2533824,2.6102836,1.7975438,3.1384375,NISQAv2
audio/com2_normal_4g-goodloss37_04-10-2025_000514/speaker_251004_000535.wav,1.7912487,3.4248066,2.5128288,1.8278196,3.098705,NISQAv2
audio/com2_normal_4g-goodloss3_04-10-2025_003144/speaker_251004_003205.wav,4.5007997,4.291773,4.6532373,4.0837636,4.3143926,NISQAv2
audio/com2_normal_4g-goodloss40_04-10-2025_000332/speaker_251004_000351.wav,1.5639096,3.4389665,2.0542655,1.7884076,3.0332568,NISQAv2
audio/com2_normal_4g-goodloss6_04-10-2025_002858/speaker_251004_002920.wav,3.1679432,4.111963,2.8798475,3.4069998,3.8665519,NISQAv2
audio/com2_normal_4g-goodloss9_04-10-2025_002715/speaker_251004_002735.wav,3.7229111,4.0971055,3.505284,3.5786881,3.889927,NISQAv2
audio/com2_plc_3g-goodloss0_03-10-2025_235952/speaker_251004_000011.wav,4.428651,4.312121,4.2385507,4.0830107,4.2922664,NISQAv2
audio/com2_plc_3g-goodloss12_03-10-2025_234953/speaker_251003_235014.wav,2.9988215,3.9694624,2.6851099,2.8793216,3.4125514,NISQAv2
audio/com2_plc_3g-goodloss15_03-10-2025_234710/speaker_251003_234730.wav,2.7204795,3.8006573,3.1299322,2.2741945,3.3620386,NISQAv2
audio/com2_plc_3g-goodloss18_03-10-2025_234527/speaker_251003_234549.wav,2.4974473,3.724119,2.981232,2.1090488,3.2382405,NISQAv2
audio/com2_plc_3g-goodloss21_03-10-2025_234242/speaker_251003_234303.wav,2.147259,3.655399,2.4711604,2.1024468,3.1690753,NISQAv2
audio/com2_plc_3g-goodloss23_03-10-2025_234102/speaker_251003_234123.wav,2.0480702,3.5712607,2.6022153,1.980467,3.2091458,NISQAv2
audio/com2_plc_3g-goodloss25_03-10-2025_233910/speaker_251003_233937.wav,1.8957642,3.5477386,2.1952286,1.9929456,3.116086,NISQAv2
audio/com2_plc_3g-goodloss27_03-10-2025_233627/speaker_251003_233649.wav,1.8305442,3.589196,2.3319042,2.0266144,3.1575441,NISQAv2
audio/com2_plc_3g-goodloss30_03-10-2025_233447/speaker_251003_233506.wav,2.098045,3.6152732,2.550409,1.9561911,3.0856364,NISQAv2
audio/com2_plc_3g-goodloss33_03-10-2025_233204/speaker_251003_233222.wav,1.384223,3.4665046,1.8001688,1.9394853,2.9943967,NISQAv2
audio/com2_plc_3g-goodloss35_03-10-2025_232819/speaker_251003_232840.wav,1.5246755,3.492196,1.8978863,1.8876843,3.0315216,NISQAv2
audio/com2_plc_3g-goodloss37_03-10-2025_232636/speaker_251003_232657.wav,1.2365868,3.4008129,1.6069965,1.7802005,2.9657848,NISQAv2
audio/com2_plc_3g-goodloss3_03-10-2025_235808/speaker_251003_235829.wav,3.902642,4.1431046,3.5927365,3.7843153,3.9817522,NISQAv2
audio/com2_plc_3g-goodloss40_03-10-2025_232454/speaker_251003_232515.wav,1.4085058,3.202012,2.0345886,1.8221455,3.033107,NISQAv2
audio/com2_plc_3g-goodloss6_03-10-2025_235524/speaker_251003_235543.wav,3.546615,4.0433073,3.2647598,3.470422,3.8311546,NISQAv2
audio/com2_plc_3g-goodloss9_03-10-2025_235342/speaker_251003_235404.wav,3.0078251,3.9258792,2.5864363,3.1866148,3.5273182,NISQAv2
audio/com2_plc_4g-goodloss0_04-10-2025_003235/speaker_251004_003255.wav,4.2266455,4.2321196,3.8515217,4.1476636,4.3427453,NISQAv2
audio/com2_plc_4g-goodloss12_04-10-2025_002441/speaker_251004_002502.wav,3.4320235,4.039602,3.227453,3.2102478,3.7456214,NISQAv2
audio/com2_plc_4g-goodloss15_04-10-2025_002257/speaker_251004_002319.wav,2.3858845,3.7377884,2.710149,2.2255096,3.3024127,NISQAv2
audio/com2_plc_4g-goodloss18_04-10-2025_002116/speaker_251004_002135.wav,2.3764017,3.667923,2.5812619,2.2660234,3.2980886,NISQAv2
audio/com2_plc_4g-goodloss21_04-10-2025_001831/speaker_251004_001850.wav,2.3311613,3.6598704,2.7328246,2.210315,3.2635732,NISQAv2
audio/com2_plc_4g-goodloss23_04-10-2025_001543/speaker_251004_001608.wav,2.2914546,3.641094,2.8259633,2.2081258,3.2874575,NISQAv2
audio/com2_plc_4g-goodloss25_04-10-2025_001400/speaker_251004_001422.wav,2.0194619,3.6056588,2.505373,1.9933125,3.1538112,NISQAv2
audio/com2_plc_4g-goodloss27_04-10-2025_001115/speaker_251004_001136.wav,2.0085168,3.6332574,2.506098,2.01569,3.160196,NISQAv2
audio/com2_plc_4g-goodloss30_04-10-2025_000934/speaker_251004_000953.wav,1.8630642,3.552183,2.5218427,2.043346,3.1757534,NISQAv2
audio/com2_plc_4g-goodloss33_04-10-2025_000750/speaker_251004_000813.wav,1.9775697,3.5470197,2.537886,2.033543,3.2346778,NISQAv2
audio/com2_plc_4g-goodloss35_04-10-2025_000605/speaker_251004_000629.wav,1.8387221,3.5106373,2.5645416,2.0491962,3.2997649,NISQAv2
audio/com2_plc_4g-goodloss37_04-10-2025_000422/speaker_251004_000443.wav,1.4245795,3.4116147,2.0351717,1.6911603,3.0897841,NISQAv2
audio/com2_plc_4g-goodloss3_04-10-2025_003053/speaker_251004_003114.wav,3.7209709,4.118614,3.3976877,3.769905,4.0533314,NISQAv2
audio/com2_plc_4g-goodloss40_04-10-2025_000139/speaker_251004_000158.wav,1.6927849,3.362881,2.2891734,1.9891,3.1810644,NISQAv2
audio/com2_plc_4g-goodloss6_04-10-2025_002806/speaker_251004_002828.wav,3.6880066,4.1738477,3.2814677,3.5735912,3.9453063,NISQAv2
audio/com2_plc_4g-goodloss9_04-10-2025_002624/speaker_251004_002645.wav,3.5699437,4.047003,3.4115694,3.414277,3.8329258,NISQAv2
audio/com3_normal_3g-goodloss0_04-10-2025_010618/speaker_251004_010640.wav,4.3808765,4.281251,4.5523124,4.009746,4.237942,NISQAv2
audio/com3_normal_3g-goodloss12_04-10-2025_005819/speaker_251004_005840.wav,3.1753132,3.9652665,3.3734932,2.678475,3.4883473,NISQAv2
audio/com3_normal_3g-goodloss15_04-10-2025_005535/speaker_251004_005600.wav,2.7608263,3.929973,2.8317668,2.5659158,3.3458207,NISQAv2
audio/com3_normal_3g-goodloss18_04-10-2025_005347/speaker_251004_005413.wav,2.5064356,3.715473,3.1985042,2.204483,3.3879864,NISQAv2
audio/com3_normal_3g-goodloss21_04-10-2025_005203/speaker_251004_005224.wav,2.508912,3.7168913,3.0802817,2.2340546,3.3508673,NISQAv2
audio/com3_normal_3g-goodloss23_04-10-2025_005019/speaker_251004_005040.wav,2.2682366,3.637415,2.9901938,1.9942566,3.1874073,NISQAv2
audio/com3_normal_3g-goodloss25_04-10-2025_004836/speaker_251004_004856.wav,2.1945922,3.4945395,3.0606103,2.170645,3.283031,NISQAv2
audio/com3_normal_3g-goodloss27_04-10-2025_004547/speaker_251004_004609.wav,2.3234198,3.605957,2.8497303,2.1169162,3.3462696,NISQAv2
audio/com3_normal_3g-goodloss30_04-10-2025_004405/speaker_251004_004426.wav,1.9443891,3.4635983,2.7543962,1.9025367,3.1440513,NISQAv2
audio/com3_normal_3g-goodloss33_04-10-2025_004018/speaker_251004_004039.wav,1.8795174,3.4304411,2.7743714,1.8381076,3.0857885,NISQAv2
audio/com3_normal_3g-goodloss35_04-10-2025_003834/speaker_251004_003855.wav,1.4153869,3.1443882,2.1017084,1.6640592,2.9156733,NISQAv2
audio/com3_normal_3g-goodloss37_04-10-2025_003651/speaker_251004_003713.wav,1.5856824,3.5359588,2.0087712,1.8241725,2.8833644,NISQAv2
audio/com3_normal_3g-goodloss3_04-10-2025_010432/speaker_251004_010456.wav,3.2550201,4.150804,3.0032387,3.6053655,3.9715753,NISQAv2
audio/com3_normal_3g-goodloss40_04-10-2025_003509/speaker_251004_003533.wav,1.55233,3.2827399,2.2897098,1.7439711,3.0446794,NISQAv2
audio/com3_normal_3g-goodloss6_04-10-2025_010247/speaker_251004_010309.wav,4.1370654,4.2110424,4.4064302,3.7247732,4.0601797,NISQAv2
audio/com3_normal_3g-goodloss9_04-10-2025_010103/speaker_251004_010125.wav,3.3645895,4.0444446,3.0206897,3.2744946,3.753631,NISQAv2
audio/com3_normal_4g-goodloss0_04-10-2025_014438/speaker_251004_014500.wav,4.33644,4.280582,3.9294312,4.2221575,4.376433,NISQAv2
audio/com3_normal_4g-goodloss12_04-10-2025_013439/speaker_251004_013501.wav,3.8419993,4.112861,4.2678623,3.3221805,3.8408127,NISQAv2
audio/com3_normal_4g-goodloss15_04-10-2025_013153/speaker_251004_013215.wav,2.6518908,3.8616943,2.8178527,2.3909438,3.293278,NISQAv2
